average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
60.97, (SA),274,41,23,RG Pollock,4,2256,1963-1970
29.78, (SA),111,83,45,AW Nourse,8,2234,1902-1924
18.22, (INDIA),115,145,103,Harbhajan Singh,23,2224,1998-2015
30.04, (ZIM),158,76,38,H Masakadza,2,2223,2001-2018
29.42, (ZIM),203*,82,46,GJ Whittall,7,2207,1993-2002
24.45, (AUS),122,97,63,R Benaud,7,2201,1952-1964
31.42, (WI),113,71,40,DJ Bravo,1,2200,2004-2010
47.65, (INDIA),164*,52,30,VS Hazare,6,2192,1946-1953
60.83, (WI),270*,40,22,GA Headley,4,2190,1930-1954
31.46, (ENG),106,75,42,JC Buttler,6,2171,2014-2020
25.71, (WI),135,86,48,D Ganga,2,2160,1998-2008
42.33, (WI),160,56,32,JB Stollmeyer,5,2159,1939-1955
46.54, (INDIA),212,53,32,RG Sharma,7,2141,2013-2019
41.78, (AUS),170,55,35,CG Macartney,4,2131,1907-1926
29.50, (SL),154*,83,58,HAPW Jayawardene,11,2124,2000-2015
48.22, (AUS),266,48,29,WH Ponsford,4,2122,1924-1934
30.28, (SA),142,73,40,RA McLean,3,2120,1951-1964
31.07, (INDIA),143,71,37,AL Wadekar,3,2113,1966-1974
31.47, (INDIA),231,72,44,MH Mankad,5,2109,1946-1959
32.85, (SA),166,74,46,JP Duminy,10,2103,2008-2017
28.36, (SL),139,74,39,JK Silva,0,2099,2011-2018
34.88, (SA),182,64,36,AN Petersen,4,2093,2010-2015
31.57, (INDIA),97,68,40,CPS Chauhan,2,2084,1969-1981
29.28, (PAK),209,72,41,Imtiaz Ahmed,1,2079,1952-1962
22.20, (AUS),123*,109,73,MG Johnson,16,2065,2007-2015
29.88, (INDIA),123,72,43,K Srikkanth,3,2062,1981-1992
46.84, (AUS),307,46,27,RM Cowper,2,2061,1964-1968
37.47, (ENG),126,56,34,PE Richardson,1,2061,1956-1963
30.68, (INDIA),129,71,39,ML Jaisimha,4,2056,1959-1971
35.43, (ZIM),171,62,31,BRM Taylor,4,2055,2004-2020
43.55, (WI),302,49,30,LG Rowe,2,2047,1972-1980
37.14, (INDIA),218,61,37,SV Manjrekar,6,2043,1987-1996
31.78, (NZ),267*,68,35,BA Young,4,2034,1993-1999
30.62, (NZ),146*,71,41,MJ Greatbatch,5,2021,1988-1996
42.87, (AUS),173,48,25,CJL Rogers,1,2015,2008-2015
26.81, (WI),134,76,40,KOA Powell,1,2011,2011-2018
33.45, (SA),163,63,35,AC Hudson,3,2007,1992-1998
34.58, (INDIA),199,60,36,KL Rahul,2,2006,2014-2019
39.23, (INDIA),212,55,30,DN Sardesai,4,2001,1961-1972
34.46, (ENG),137,60,35,TW Hayward,2,1999,1896-1909
30.25, (AUS),133,73,42,MA Noble,7,1997,1898-1909
22.90, (WI),91,96,62,DL Murray,9,1993,1963-1980
22.35, (ZIM),127*,107,65,HH Streak,18,1990,1993-2005
30.07, (INDIA),201,70,40,AD Gaekwad,4,1985,1974-1985
43.86, (ENG),175,49,28,G Pullar,4,1974,1959-1963
39.36, (SA),113,62,38,BM McMillan,12,1968,1992-1998
43.66, (SA),236,50,26,EAB Rowan,5,1965,1935-1951
32.16, (ENG),108*,68,46,JM Parks,7,1962,1954-1968
30.59, (NZ),161,68,39,BA Edgar,4,1958,1978-1986
28.61, (PAK),134,77,46,Abdul Razzaq,9,1946,1999-2006
34.10, (INDIA),212,58,31,W Jaffer,1,1944,2000-2008
26.12, (SL),132*,78,49,RS Kaluwitharana,4,1933,1992-2004
33.87, (ENG),140,61,35,AC MacLaren,4,1931,1894-1909
30.98, (SL),83,66,37,N Dickwella,4,1921,2014-2020
32.49, (WI),202*,71,41,JO Holder,12,1917,2014-2020
32.86, (SA),174,69,49,L Klusener,11,1906,1996-2004
33.92, (INDIA),169,62,40,Yuvraj Singh,6,1900,2003-2012
35.14, (PAK),245,60,35,Shoaib Malik,6,1898,2001-2015
27.10, (ENG),128*,86,54,RC Russell,16,1897,1988-1998
30.46, (PAK),122,62,33,Salman Butt,0,1889,2003-2010
40.91, (ENG),131*,52,37,PH Parfitt,6,1882,1961-1972
35.26, (INDIA),100*,71,49,RA Jadeja,18,1869,2012-2020
35.15, (SL),173,57,31,DM de Silva,4,1863,2016-2020
45.12, (PAK),143,48,26,Babar Azam,7,1850,2016-2020
41.08, (AUS),130,53,33,GRJ Matthews,8,1849,1983-1993
30.75, (SA),102*,67,40,T Bavuma,7,1845,2014-2020
31.70, (ENG),149,64,40,RES Wyatt,6,1839,1927-1937
23.24, (ENG),113,90,61,R Illingworth,11,1836,1958-1973
28.01, (SL),123,69,44,RP Arnold,4,1821,1997-2004
25.56, (NZ),173,88,63,IDS Smith,17,1815,1980-1992
18.85, (WI),92,107,81,MD Marshall,11,1810,1978-1991
34.61, (ENG),156*,61,37,JP Crawley,9,1800,1994-2003
44.95, (AUS),177,42,27,DS Lehmann,2,1798,1998-2004
24.28, (BDESH),150,76,39,Imrul Kayes,2,1797,2008-2019
32.58, (SL),111,60,32,NT Paranavitana,5,1792,2009-2012
28.38, (NZ),157,65,35,MJ Horne,2,1788,1997-2003
36.32, (NZ),133,59,33,JDP Oram,10,1780,2002-2009
31.76, (WI),137*,60,33,RL Chase,4,1779,2016-2020
24.04, (SA),74,94,64,VD Philander,20,1779,2011-2020
42.21, (AUS),169,48,29,BC Booth,6,1773,1961-1966
23.78, (WI),108,76,43,DS Smith,2,1760,2003-2018
32.50, (ENG),149,56,31,CJ Tavare,2,1755,1980-1989
40.79, (SA),204,47,25,GA Faulkner,4,1754,1906-1924
31.89, (SL),165,58,31,WU Tharanga,3,1754,2005-2017
39.70, (NZ),162*,50,33,HM Nicholls,6,1747,2016-2020
22.05, (BDESH),119,80,40,Javed Omar,2,1720,2001-2007
30.14, (SA),177*,62,38,HH Dippenaar,5,1718,1999-2007
36.51, (PAK),156,48,27,Shahid Afridi,1,1716,1998-2010
22.53, (ENG),75,96,64,JE Emburey,20,1713,1978-1995
14.64, (SL),80*,144,93,HMRKB Herath,28,1699,1999-2018
35.20, (AUS),146,53,30,GM Ritchie,5,1690,1982-1987
49.08, (SA),144*,39,21,KC Bland,5,1669,1961-1966
17.37, (NZ),77*,106,73,TG Southee,10,1668,2008-2020
39.69, (ENG),188,45,28,MH Denness,3,1667,1969-1975
