average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
20.25, (BDESH),83,13,7,Mehrab Hossain jnr,1,243,2007-2009
24.30, (ENG),73*,12,9,JB Mortimore,2,243,1959-1964
20.25, (AUS),59,13,7,JW Trumble,1,243,1885-1886
30.25, (PAK),115,9,5,Ali Naqvi,1,242,1997-1998
8.06, (ENG),38*,39,27,SF Barnes,9,242,1901-1914
22.00, (INDIA),50*,12,8,CD Gopinath,1,242,1951-1960
26.88, (ENG),70,9,8,James Langridge,0,242,1933-1946
13.44, (WI),65,19,11,D Williams,1,242,1992-1998
13.38, (BDESH),71,18,9,Mehrab Hossain,0,241,2000-2003
26.77, (NZ),117,10,7,JE Mills,1,241,1930-1933
10.00, (INDIA),31,34,28,SLV Raju,10,240,1990-2001
34.28, (PAK),56,9,5,Shadab Khan,2,240,2017-2019
59.75, (AUS),165*,6,3,C Bannerman,2,239,1877-1879
19.91, (PAK),42*,15,9,Naved-ul-Hasan,3,239,2004-2007
18.38, (ENG),29,22,15,JC White,9,239,1921-1931
15.86, (ENG),55*,20,13,LE Plunkett,5,238,2005-2014
19.75, (ENG),63,13,11,AW Carr,1,237,1922-1929
47.40, (NZ),96,6,4,FB Smith,1,237,1947-1952
16.92, (INDIA),42,14,7,S Wazir Ali,0,237,1932-1936
9.44, (AUS),31*,32,21,G Dymock,7,236,1974-1980
39.33, (SA),152,6,3,CN Frank,0,236,1921-1921
6.05, (ENG),29,58,40,DE Malcolm,19,236,1989-1997
5.87, (WI),24,47,32,PT Collins,7,235,1999-2006
26.11, (PAK),68,10,7,Hasan Raza,1,235,1996-2005
23.50, (ZIM),64,10,5,PS Masvaure,0,235,2016-2020
26.00, (AUS),48,9,5,KA Archer,0,234,1950-1951
14.62, (ENG),39*,28,24,G Duckworth,12,234,1924-1936
23.30, (WI),87*,11,10,EAE Baptiste,1,233,1983-1990
33.28, (ENG),74,8,9,R Kilner,1,233,1924-1926
46.60, (AUS),100*,8,5,ML Love,3,233,2002-2003
38.66, (WI),80,6,3,FI de Caires,0,232,1930-1930
13.64, (BDESH),46*,19,10,Mushfiqur Rahman,2,232,2001-2004
17.76, (ENG),52*,16,12,WH Lockwood,3,231,1893-1902
7.93, (ENG),24,42,28,H Strudwick,13,230,1910-1926
10.95, (ENG),37*,24,17,FH Tyson,3,230,1954-1959
45.80, (PAK),65,8,8,Ashraf Ali,3,229,1982-1987
8.80, (NZ),22*,31,19,HB Cave,5,229,1949-1958
15.26, (INDIA),41,15,8,JM Ghorpade,0,229,1953-1959
15.26, (NZ),93,15,8,NS Harford,0,229,1955-1958
12.72, (NZ),50,20,11,JT Sparling,2,229,1958-1964
19.08, (ENG),99*,16,10,AJ Tudor,4,229,1998-2002
19.00, (ENG),68,13,7,WG Quaife,1,228,1899-1902
38.00, (AUS/ENG),85*,9,5,AE Trott,3,228,1895-1899
45.60, (INDIA),104,6,4,J Yadav,1,228,2016-2017
25.11, (ENG),48,12,7,JS Foster,3,226,2001-2002
25.11, (INDIA),72*,10,7,AO Malhotra,1,226,1982-1985
25.11, (SA),48,10,7,MJ Procter,1,226,1967-1970
14.06, (AUS),42*,28,24,TBA May,12,225,1987-1995
32.14, (PAK),95,9,6,Mohammad Rizwan,2,225,2016-2020
32.14, (WI),52,8,5,D Mohammed,1,225,2004-2006
10.22, (INDIA),54*,27,21,NS Tamhane,5,225,1955-1961
18.66, (NZ),66,16,12,MJ Henry,4,224,2015-2020
20.36, (ENG),61,13,9,MJL Turnbull,2,224,1930-1936
44.60, (AUS),142,5,3,J Benaud,0,223,1972-1973
27.87, (NZ),80,8,7,TC Lowry,0,223,1930-1931
7.92, (WI),43*,36,26,KCG Benjamin,8,222,1992-1998
22.20, (WI),69,10,6,AE Greenidge,0,222,1978-1979
11.10, (AUS),46*,29,21,AA Mailey,9,222,1920-1926
24.66, (WI),55,10,5,CW Smith,1,222,1960-1962
27.62, (SA),40,10,6,WS Farrer,2,221,1962-1964
20.09, (AUS),67,11,6,DRA Gehrs,0,221,1904-1911
31.57, (PAK),95,7,5,Shafqat Rana,0,221,1964-1969
22.00, (WI),77,11,7,RS Grant,1,220,1935-1939
18.33, (ENG),92,18,10,MJ Leach,6,220,2018-2019
4.88, (ENG),26,68,50,MS Panesar,23,220,2006-2013
15.64, (ENG),83,15,10,NH Fairbrother,1,219,1987-1993
43.80, (ENG),82,6,3,H Hameed,1,219,2016-2016
36.50, (ENG),81,8,5,RA Hutton,2,219,1971-1971
31.28, (NZ),119,7,4,RT Latham,0,219,1992-1993
7.55, (NZ),31,34,22,IE O'Brien,5,219,2005-2009
16.84, (AUS),55*,18,10,KJ Wright,5,219,1979-1979
18.25, (SA),50,12,6,OE Wynne,0,219,1948-1950
19.81, (NZ),52,11,7,JAH Marshall,0,218,2005-2008
31.14, (WI),120,7,4,IT Shillingford,0,218,1977-1978
9.08, (SL),48,30,21,UWMBCA Welegedara,6,218,2007-2014
19.72, (ZIM),43,12,6,R Mutumbami,1,217,2013-2014
9.43, (AUS),50,29,18,FR Spofforth,6,217,1877-1887
19.54, (ENG),51,11,6,W Storer,0,215,1897-1899
26.75, (ENG),82,8,4,JA Jameson,0,214,1971-1974
17.83, (AUS),55,13,8,JW Martin,1,214,1960-1967
30.57, (INDIA),71,11,8,BS Sandhu,4,214,1983-1983
14.20, (ENG),52*,18,13,PJW Allott,3,213,1981-1985
30.42, (WI),111,7,4,SSJ Brooks,0,213,2019-2020
8.87, (ENG),62*,26,18,GA Lohmann,2,213,1886-1896
16.38, (SL),78,19,19,BAW Mendis,6,213,2008-2014
16.30, (WI),44*,16,10,TM Findlay,3,212,1969-1973
19.27, (NZ),59,12,7,JL Kerr,1,212,1931-1937
26.37, (AUS),61,8,5,LPJ O'Brien,0,211,1932-1936
15.07, (SL),42,14,7,DP Samaraweera,0,211,1993-1995
10.55, (BDESH),53,21,11,Shafiul Islam,1,211,2010-2017
21.00, (ENG),53*,13,8,MA Ealham,3,210,1996-1998
15.00, (BDESH),48,15,8,Naimur Rahman,1,210,2000-2002
14.92, (ENG),45,14,8,K Cranston,0,209,1947-1948
16.07, (ENG),39*,16,11,AER Gilligan,3,209,1922-1925
29.85, (WI),50,9,5,GA Greenidge,2,209,1972-1973
9.95, (SA),31,24,14,PS Heine,3,209,1955-1962
29.85, (ENG),76,7,4,WW Whysall,0,209,1925-1930
23.11, (AUS),74,14,9,TJ Jenner,5,208,1970-1975
17.33, (ENG),38,13,8,VWC Jupp,1,208,1921-1928
13.00, (INDIA),37,17,9,CT Sarwate,1,208,1946-1951
29.57, (ENG),80,7,4,KJ Barnett,0,207,1988-1989
6.27, (NZ),37,41,30,SL Boock,8,207,1978-1989
10.89, (INDIA),52*,20,12,PG Joshi,1,207,1951-1960
29.57, (NZ),68,7,4,RH Vance,0,207,1988-1989
18.81, (AUS),39,11,8,MRJ Veletta,0,207,1987-1990
29.42, (AUS),48,10,6,SP O'Donnell,3,206,1985-1985
6.24, (ENG),33,37,25,PI Pocock,4,206,1968-1985
12.81, (INDIA/PAK),34,17,9,Gul Mohammad,1,205,1946-1956
18.63, (AUS),42*,12,7,TG Hogan,1,205,1983-1984
15.76, (ENG),44,18,18,SP Jones,5,205,2002-2005
4.74, (WI),20*,67,46,ST Gabriel,24,204,2012-2020
34.00, (INDIA),88,7,4,DJ Gandhi,1,204,1999-1999
25.50, (ENG),104*,9,6,CA Milton,1,204,1958-1959
68.00, (ENG),134*,4,4,H Wood,1,204,1888-1892
6.54, (AUS),26*,53,41,TM Alderman,22,203,1981-1991
15.61, (ENG),66,13,7,G Cook,0,203,1982-1983
20.30, (SL),75,10,6,NLTC Perera,0,203,2011-2012
7.51, (INDIA),30*,47,33,BKV Prasad,20,203,1996-2001
40.40, (WI),69,6,3,DE Bernard,1,202,2003-2009
16.83, (ENG),49,12,7,W Brockwell,0,202,1893-1899
15.53, (WI),77,17,15,WW Davis,4,202,1983-1988
22.44, (AUS),50,15,10,AIC Dodemaide,6,202,1987-1992
13.46, (ENG),41,16,11,RM Ellison,1,202,1984-1986
20.20, (NZ/WI),54,12,8,SC Guillen,2,202,1951-1956
28.85, (WI),54,9,6,CA McWatt,2,202,1954-1955
40.20, (ENG),81,5,4,A McGrath,0,201,2003-2003
28.71, (BDESH),71,7,4,Najmul Hossain Shanto,0,201,2017-2020
16.75, (ZIM),40*,18,9,T Panyangara,6,201,2004-2014
18.27, (NZ),44,12,6,JTC Vaughan,1,201,1992-1997
28.57, (WI),75,10,8,W Ferguson,3,200,1948-1954
33.33, (PAK),63*,10,9,Zulfiqar Ahmed,4,200,1952-1956
19.90, (ENG/INDIA),102,10,6,Nawab of Pataudi snr,0,199,1932-1946
18.00, (ENG),39,12,9,RO Jenkins,1,198,1948-1952
19.80, (AUS),33,10,6,H Moses,0,198,1887-1895
7.88, (WI),16*,52,30,CD Collymore,27,197,1999-2007
13.06, (SL),36,17,11,PB Dassanayake,2,196,1993-1994
11.52, (AUS),45,23,15,FJ Laver,6,196,1899-1909
32.50, (AUS),98,7,4,AC Agar,1,195,2013-2017
27.85, (AUS),57,8,4,BA Barnett,1,195,1938-1938
21.55, (INDIA),78,10,6,STR Binny,1,194,2014-2015
12.12, (PAK),40,19,15,Shahid Nazir,3,194,1996-2007
12.86, (SL),45*,26,19,RMS Eranga,11,193,2011-2016
24.12, (NZ),55,8,4,SG Gedye,0,193,1964-1965
24.12, (ENG),59,9,5,T Westley,1,193,2017-2017
32.00, (PAK),94,6,3,Fakhar Zaman,0,192,2018-2019
8.72, (INDIA),50,31,22,Ghulam Ahmed,9,192,1948-1959
12.80, (ENG),87,15,8,D Kenyon,0,192,1951-1955
23.87, (AUS),89,8,4,AJ Doolan,0,191,2014-2014
12.66, (ENG),40,15,9,WE Astill,0,190,1927-1930
14.61, (SA),42,14,8,PR Carlstein,1,190,1958-1964
6.75, (NZ),64*,34,19,RW Blair,6,189,1953-1964
23.62, (AUS),105,8,4,AL Mann,0,189,1977-1978
12.53, (SA),57,15,8,EA Halliwell,0,188,1892-1902
47.00, (ENG),105,6,3,J Sharp,2,188,1909-1909
31.16, (WI),122,8,5,CC Depeiaza,2,187,1955-1956
14.38, (ZIM),47,15,10,ML Nkala,2,187,2000-2005
18.70, (ENG),72,10,5,JJ Roy,0,187,2019-2019
18.70, (INDIA),54,10,5,PH Sharma,0,187,1974-1977
8.45, (ENG),31,26,15,DW Headley,4,186,1997-1999
26.57, (AUS),79,10,7,GB Hogg,3,186,1996-2008
31.00, (ZIM),73,7,5,DA Marillier,1,186,2000-2002
20.66, (SA),108,9,5,PL Winslow,0,186,1950-1955
15.41, (SL),50,16,10,EAR de Silva,4,185,1985-1991
11.56, (ENG),63,19,15,K Higgs,3,185,1965-1968
26.42, (WI),68,8,5,MV Nagamootoo,1,185,2000-2002
46.00, (WI),105*,6,3,L Baichan,2,184,1975-1976
5.41, (ZIM),24,45,30,HK Olonga,11,184,1995-2002
26.14, (AUS),53,8,5,GJ Bailey,1,183,2013-2014
9.63, (ENG),27,31,19,C Blythe,12,183,1901-1910
6.31, (INDIA),21,42,36,SP Gupte,13,183,1951-1961
26.14, (PAK),105,8,5,Ijaz Faqih,1,183,1980-1988
22.75, (PAK),33,8,6,Aftab Gul,0,182,1969-1971
22.75, (ENG),36,8,4,LJ Moon,0,182,1906-1906
45.25, (WI),69,5,3,CR Brathwaite,1,181,2015-2016
18.10, (SA),45,15,10,CP Carter,5,181,1912-1924
16.45, (SL),43,11,6,DA Gunawardene,0,181,1999-2005
60.33, (INDIA),110,4,3,RH Shodhan,1,181,1952-1953
18.10, (SA),62,10,5,Zubayr Hamza,0,181,2019-2020
8.57, (NZ),21*,54,43,EJ Chatfield,33,180,1975-1989
12.00, (BDESH),24*,19,10,Enamul Haque,4,180,2001-2003
18.00, (ENG),35,11,8,CJ Jordan,1,180,2014-2015
8.52, (ENG),31,25,15,NGB Cook,4,179,1983-1989
16.27, (ENG),25*,20,15,N Gifford,9,179,1964-1973
35.80, (SA),78,5,3,JFW Nicolson,0,179,1928-1928
17.80, (AUS),47,10,5,AD Ogilvie,0,178,1977-1978
22.12, (SL),56,10,5,HM Goonatilleke,2,177,1982-1982
17.70, (AUS),69,12,7,LV Maddocks,2,177,1954-1956
11.06, (ENG),25*,24,14,T Richardson,8,177,1893-1898
29.50, (PAK),62,7,4,Younis Ahmed,1,177,1969-1987
25.14, (WI),70*,8,4,CR Browne,1,176,1928-1930
7.95, (ENG),36,29,19,NG Cowans,7,175,1982-1985
19.44, (ENG),55,9,5,EW Dawson,0,175,1928-1930
10.29, (NZ),30,21,14,C Pringle,4,175,1990-1995
14.50, (SA),122*,13,9,XC Balaskas,1,174,1930-1939
17.40, (AUS),56,11,6,RJ Inverarity,1,174,1968-1972
8.28, (AUS),43,24,18,CR Miller,3,174,1998-2001
24.71, (SA),69,7,4,CH Morris,0,173,2016-2017
57.66, (WI),137,3,2,KH Weekes,0,173,1939-1939
10.75, (WI),25,18,12,Inshan Ali,2,172,1971-1977
15.63, (WI),35*,16,11,ST Clarke,5,172,1978-1982
28.50, (AUS),54,6,3,MF Kent,0,171,1981-1981
24.42, (INDIA),39,8,5,CS Pandit,1,171,1986-1992
17.10, (WI),35,13,8,OC Scott,3,171,1928-1931
28.33, (WI),107,7,4,GM Carew,1,170,1935-1949
28.33, (ENG),51*,11,8,C Gladwin,5,170,1947-1949
42.50, (AUS),116,4,2,MJ Hartigan,0,170,1908-1908
28.33, (ENG),73,7,5,J Iddon,1,170,1935-1935
56.66, (INDIA),60,4,2,C Ramaswami,1,170,1936-1936
34.00, (PAK),57,7,5,Tanvir Ahmed,2,170,2010-2013
21.12, (INDIA),85,8,4,KC Ibrahim,0,169,1948-1949
24.14, (NZ),57,10,5,RA Young,3,169,2011-2011
12.92, (NZ),41*,20,18,SE Bond,7,168,2001-2009
12.00, (SA),47,14,7,SH Curnow,0,168,1930-1932
18.66, (ENG),48,9,5,FGJ Ford,0,168,1894-1895
16.80, (ENG/SA),30,10,6,F Hearne,0,168,1889-1896
16.80, (SA),38,10,6,WVS Ling,0,168,1921-1923
15.18, (PAK),52,12,9,Anil Dalpat,1,167,1984-1985
4.07, (INDIA),22,80,58,BS Chandrasekhar,39,167,1964-1979
33.40, (ENG),82*,6,4,M Watkinson,1,167,1995-1996
15.09, (WI),43,12,6,SW Ambris,1,166,2017-2018
27.66, (SA),35,8,4,JP Fellows-Smith,2,166,1960-1960
33.20, (WI),58,6,3,EAC Hunte,1,166,1930-1930
8.73, (SL),44,31,23,KR Pushpakumara,12,166,1994-2001
18.44, (SA),62,9,5,RJ Westcott,0,166,1954-1958
82.50, (BDESH),113,5,3,Abul Hasan,3,165,2012-2013
11.78, (INDIA),25,18,14,PK Sen,4,165,1948-1952
12.69, (NZ),44,18,13,ML Su'a,5,165,1992-1995
23.42, (AUS),81*,8,4,MC Henriques,1,164,2013-2016
41.00, (BDESH),75,6,3,Mosaddek Hossain,2,164,2017-2019
16.40, (INDIA),33,10,5,PH Punjabi,0,164,1955-1955
18.11, (INDIA),115*,10,6,A Ratra,1,163,2002-2002
81.50, (NZ),107,2,1,RE Redmond,0,163,1973-1973
20.12, (SA),57,8,4,HD Ackerman,0,161,1998-1998
40.25, (ENG),69*,5,3,CJ Poole,1,161,1951-1952
13.41, (AUS),39*,19,14,WJ Whitty,7,161,1909-1912
13.33, (ENG),40,15,10,EG Arnold,3,160,1903-1907
14.54, (AUS),118,12,7,CL Badcock,1,160,1936-1938
16.00, (SL),91,10,5,CI Dunusinghe,0,160,1995-1995
13.33, (ENG),48,13,7,T Emmett,1,160,1877-1882
12.30, (ENG),36,16,10,CH Parkin,3,160,1920-1924
40.00, (WI),94,4,2,OJ Phillips,0,160,2009-2009
20.00, (ENG),48,9,5,CT Studd,1,160,1882-1883
22.71, (WI),49,7,4,PD Lashley,0,159,1960-1966
31.80, (NZ),77,5,3,DD Taylor,0,159,1947-1956
10.53, (WI),33,37,27,CEH Croft,22,158,1977-1982
7.52, (AUS),35,27,18,WP Howell,6,158,1898-1904
14.36, (SL),70*,14,9,GF Labrooy,3,158,1986-1991
9.29, (NZ),23*,21,11,DR O'Sullivan,4,158,1973-1976
31.40, (ENG),140,5,3,SC Griffith,0,157,1948-1949
19.62, (ENG),55,9,5,AP Lucas,1,157,1879-1884
26.00, (SA),84,6,3,PJ Malan,0,156,2020-2020
26.00, (NZ),64,6,3,DAR Moloney,0,156,1937-1937
14.18, (PAK),39,11,6,Naushad Ali,0,156,1965-1965
38.75, (SA),83,5,3,Z de Bruyn,1,155,2004-2004
15.50, (PAK),29,15,9,Hasan Ali,5,155,2017-2019
51.66, (PAK),59,6,4,Rashid Khan,3,155,1982-1985
14.00, (ENG),50*,16,12,AP Freeman,5,154,1924-1929
11.84, (AUS),45*,20,18,I Meckiff,7,154,1957-1963
15.40, (AUS/ENG),53,10,6,SMJ Woods,0,154,1888-1896
15.30, (PAK),32,12,9,Akram Raza,2,153,1989-1995
12.75, (AUS),36*,16,12,HF Boyle,4,153,1879-1884
19.12, (WI),39,9,5,OC da Costa,1,153,1930-1935
15.30, (SA),36,10,5,R Dumbrill,0,153,1965-1967
51.00, (AUS),80,3,2,RG Gregory,0,153,1937-1937
17.00, (AUS),53,10,8,TJ Matthews,1,153,1912-1912
21.85, (ENG),51,7,4,J O'Connor,0,153,1929-1930
5.10, (ENG),22*,59,42,PCR Tufnell,29,153,1990-2001
8.00, (SL),28,19,11,RG de Alwis,0,152,1983-1988
30.40, (ZIM),60,5,3,AJ Pycroft,0,152,1992-1992
19.00, (ENG),66,9,6,EFS Tylecote,1,152,1882-1886
25.16, (WI),75*,7,5,FJ Cameron,1,151,1948-1949
15.10, (AUS),48,10,7,RK Oxenham,0,151,1928-1931
16.77, (ENG),42,9,6,SR Patel,0,151,2012-2015
10.06, (NZ),65,15,8,WR Playle,0,151,1958-1963
16.66, (ENG),43*,15,10,W Attewell,6,150,1884-1892
18.75, (ENG),39,8,5,AE Fagg,0,150,1936-1939
13.63, (SA),38,11,6,JD Nel,0,150,1949-1957
14.90, (ENG),38,12,9,GJ Batty,2,149,2003-2016
14.90, (INDIA),40,10,6,P Kumar,0,149,2011-2011
21.14, (ENG),64,7,5,J Birkenshaw,0,148,1973-1974
37.00, (AFG),87,4,2,Ibrahim Zadran,0,148,2019-2019
21.14, (PAK),55,7,5,Shadab Kabir,0,148,1996-2002
13.36, (ENG),27,14,7,BJT Bosanquet,3,147,1903-1905
14.70, (WI),45,10,5,SC Joseph,0,147,2004-2007
9.18, (SL),39,17,12,S Randiv,1,147,2010-2012
13.36, (ZIM),50*,17,10,NB Mahwire,6,147,2002-2005
9.18, (INDIA),36,19,11,CS Nayudu,3,147,1934-1952
5.40, (SA),24,39,26,NAT Adcock,12,146,1953-1962
24.33, (IRE),82,6,3,A Balbirnie,0,146,2018-2019
20.85, (ENG),57,8,5,DM Bess,1,146,2018-2020
13.27, (AUS),31,11,6,RW McLeod,0,146,1892-1893
6.34, (PAK),22*,35,26,Sikander Bakht,12,146,1976-1983
29.20, (AUS),46,7,4,CL White,2,146,2008-2008
29.00, (ENG),52,6,4,Lord Harris,1,145,1879-1884
18.12, (ENG),45*,10,5,R Howorth,2,145,1947-1948
29.00, (WI),71,5,4,EH Mattis,0,145,1981-1981
6.59, (WI),21*,38,28,BP Patterson,16,145,1986-1992
18.00, (PAK),29*,18,14,Mohammad Nazir,10,144,1969-1983
144.00, (AUS),114*,2,2,KR Patterson,1,144,2019-2019
28.80, (ENG),107,6,3,W Place,1,144,1948-1948
16.00, (PAK),56,18,15,Zulfiqar Babar,9,144,2013-2016
20.42, (AUS),41,7,4,EL a'Beckett,0,143,1928-1932
20.42, (WI),30,7,4,RE Marshall,0,143,1951-1952
9.53, (SL),34*,24,18,CPH Ramanayake,9,143,1988-1993
28.40, (WI),41,14,8,JA Warrican,9,142,2015-2019
15.66, (INDIA),47,10,6,SS Dighe,1,141,2001-2001
20.14, (WI),50,7,4,DRE Joseph,0,141,1999-1999
17.62, (SA),43,8,5,GB Lawrence,0,141,1961-1962
5.64, (PAK),29,38,23,Mohammad Asif,13,141,2005-2010
23.50, (INDIA),77,6,3,SS Naik,0,141,1974-1975
4.70, (WI),14,51,36,AL Valentine,21,141,1950-1962
14.00, (WI),37,10,5,R Chandrika,0,140,2015-2016
15.55, (ENG),41,9,5,TS Curtis,0,140,1988-1989
20.00, (AUS),57,7,4,GR Robertson,0,140,1998-1998
19.71, (SA),48,7,5,DW Begbie,0,138,1948-1950
23.00, (PAK),83,6,4,Faheem Ashraf,0,138,2018-2019
34.50, (AFG),61,6,3,Hashmatullah Shahidi,2,138,2018-2019
12.54, (SA),55,12,8,DB Pithey,1,138,1963-1967
19.57, (NZ),64,9,7,FT Badcock,2,137,1930-1933
17.00, (WI),64,8,4,LS Birkett,0,136,1930-1931
13.60, (NZ),33,10,5,JW D'Arcy,0,136,1958-1958
22.66, (AUS),40,7,7,TV Hohns,1,136,1989-1989
7.55, (PAK),35*,31,21,Rahat Ali,13,136,2013-2018
10.46, (INDIA),27,20,11,Surendranath,7,136,1958-1961
27.00, (AFG),48*,6,3,Afsar Zazai,1,135,2018-2019
11.25, (INDIA),24,12,7,KBJ Azad,0,135,1981-1983
33.75, (ENG),76,4,2,DB Carr,0,135,1951-1952
16.87, (SL),43*,10,6,A Dananjaya,2,135,2018-2019
8.37, (PAK),24,21,18,Azeem Hafeez,5,134,1983-1985
22.33, (PAK),56,6,3,DA Sharpe,0,134,1959-1959
4.00, (SL),17*,50,28,N Pradeep,17,132,2011-2017
26.40, (SL),45,8,9,TCB Fernando,3,132,2001-2002
10.15, (ENG),29*,15,9,PW Jarvis,2,132,1988-1993
14.66, (ENG),49,9,5,E Wainwright,0,132,1893-1898
18.71, (WI),84,8,5,EL Bartlett,1,131,1928-1931
21.83, (AUS),60,6,6,GC Dyer,0,131,1986-1988
11.90, (SA),56,12,9,DL Piedt,1,131,2014-2019
13.10, (INDIA),44,10,6,V Rathour,0,131,1996-1997
11.90, (SA),40*,14,9,L Tuckett,3,131,1947-1949
9.28, (SA),29*,23,20,Imran Tahir,9,130,2011-2015
16.25, (INDIA),25,9,9,L Sivaramakrishnan,1,130,1983-1986
18.42, (ENG),49,7,4,Hon.FSG Calthorpe,0,129,1930-1930
4.60, (INDIA),20,38,33,DR Doshi,10,129,1979-1983
21.50, (INDIA),50*,10,6,CV Gadkari,4,129,1953-1955
32.25, (ENG),67*,5,3,H Gimblett,1,129,1936-1939
12.90, (ENG),32,10,5,JR Mason,0,129,1897-1898
25.80, (ENG),67,7,4,RW Tolchard,2,129,1977-1977
16.12, (ENG),39,9,5,IJ Ward,1,129,2001-2001
21.33, (ENG),84,6,4,HR Bromley-Davenport,0,128,1896-1899
6.40, (ENG),15,35,30,M Hendrick,15,128,1974-1981
18.28, (ENG),28,14,9,RK Illingworth,7,128,1991-1995
9.14, (ZIM),25*,24,13,KM Jarvis,10,128,2011-2020
16.00, (AUS),56*,9,7,BP Julian,1,128,1993-1995
32.00, (ENG),57,4,2,D Smith,0,128,1935-1935
32.00, (ENG),52,4,3,PM Walker,0,128,1960-1960
18.14, (WI),46,7,4,S Chattergoon,0,127,2008-2008
14.11, (NZ),26*,13,8,GR Larsen,4,127,1994-1996
5.52, (ENG),24,27,19,AD Mullally,4,127,1996-2001
21.16, (SA),46,6,3,PJR Steyn,0,127,1995-1995
15.75, (WI),37,9,8,ES Atkinson,1,126,1958-1959
14.00, (ENG),47,9,5,NE Haig,0,126,1921-1930
9.00, (ENG),40,18,12,JT Hearne,4,126,1892-1899
5.04, (AUS),20,26,19,E Jones,1,126,1894-1902
20.83, (ENG),59,7,4,DL Bairstow,1,125,1979-1981
25.00, (SA),45,6,3,JB Commins,1,125,1994-1995
20.83, (BDESH),41,6,3,Marshall Ayub,0,125,2013-2014
20.83, (SA),36,6,3,WFE Marx,0,125,1921-1921
20.83, (BDESH),78,6,3,Nazimuddin,0,125,2011-2012
20.83, (WI),69,6,3,DM Richards,0,125,2009-2010
15.62, (SL),38,8,4,S Samarawickrama,0,125,2017-2017
31.25, (ENG),71,4,3,CW Wright,0,125,1896-1896
15.50, (SL),43,11,8,HMCM Bandara,3,124,1998-2006
20.66, (ZIM),60,6,3,CJ Chibhabha,0,124,2016-2017
20.66, (ENG),41*,8,4,C Overton,2,124,2017-2019
24.80, (ENG),59,5,3,DA Reeve,0,124,1992-1992
10.25, (SA),35,13,9,RJ Crisp,1,123,1935-1936
20.50, (NZ),51*,8,5,IB Cromb,2,123,1931-1932
15.37, (PAK),52,10,6,Manzoor Elahi,2,123,1984-1995
2.36, (NZ),12*,104,71,CS Martin,52,123,2000-2013
10.25, (ZIM),30,15,11,BA Murphy,3,123,2000-2001
13.66, (PAK),24,20,19,Pervez Sajjad,11,123,1964-1973
30.50, (WI),55,5,3,AB Fudadin,1,122,2012-2012
7.17, (PAK),17,28,22,Junaid Khan,11,122,2011-2015
7.17, (BDESH),24*,20,10,Mohammad Sharif,3,122,2001-2007
24.40, (ZIM),62,5,3,AH Omarshah,0,122,1992-1996
10.08, (ZIM),39,15,10,EA Brandes,3,121,1992-1999
12.10, (ENG),67,10,5,JG Dewes,0,121,1948-1950
6.36, (AUS),20,24,18,TW Wall,5,121,1929-1934
8.57, (ENG),30,14,8,JC Archer,0,120,2019-2020
24.00, (INDIA),46,5,4,A Mithun,0,120,2010-2011
14.87, (ENG),43,8,4,RJ Bailey,0,119,1988-1990
16.85, (SL),57,7,4,MAR Samarasekera,0,118,1988-1991
29.50, (ENG),69*,7,6,AC Smith,3,118,1962-1963
19.66, (NZ),27*,8,5,BGK Walker,2,118,2000-2002
23.40, (SL),39,5,4,SI de Saram,0,117,1999-2000
19.50, (PAK),34*,8,5,Salahuddin,2,117,1965-1969
10.63, (SL),25,17,11,PADLR Sandakan,6,117,2016-2018
19.50, (WI),38,6,3,WH St Hill,0,117,1928-1930
11.60, (NZ),27*,30,19,FJ Cameron,20,116,1961-1965
16.57, (ENG),35,7,4,W Farrimond,0,116,1931-1935
8.28, (WI),21,17,14,FM King,3,116,1953-1956
16.57, (AUS),36,12,11,EA McDonald,5,116,1921-1921
11.60, (ENG/SA),41,10,5,F Mitchell,0,116,1899-1912
7.25, (INDIA),30,19,14,RP Singh,3,116,2006-2011
10.45, (ZIM),28,13,9,DH Brain,2,115,1992-1995
8.84, (ENG),29,13,8,PJ Martin,0,115,1995-1997
19.16, (ENG),44,6,3,H Morris,0,115,1991-1991
19.16, (BDESH),64,6,3,Nurul Hasan,0,115,2017-2018
22.80, (AUS),49,5,3,GR Beard,0,114,1980-1980
7.60, (WI),24*,22,14,ML Cummins,7,114,2016-2019
11.40, (ENG),19*,13,7,RKJ Dawson,3,114,2001-2003
8.76, (AUS/ENG),20*,17,9,JJ Ferris,4,114,1887-1892
57.00, (SA),75,2,2,RE Grieveson,0,114,1939-1939
11.40, (SA),51,10,5,GPD Hartigan,0,114,1912-1914
16.28, (ENG),85*,9,5,ERT Holmes,2,114,1935-1935
7.60, (ZIM),17,18,10,AR Whittall,3,114,1996-1999
22.60, (NZ),33,7,6,CFW Allcott,2,113,1930-1932
7.53, (ENG),25,18,11,S Haigh,3,113,1899-1912
28.25, (ZIM),63,4,3,KT Kasuza,0,113,2020-2020
14.12, (SA),34,8,4,HG Kuhn,0,113,2017-2017
18.83, (ENG),42,13,7,D Shackleton,7,113,1950-1963
8.69, (ENG),22,14,11,EJ Smith,1,113,1911-1913
10.27, (ENG),25*,15,12,CT Tremlett,4,113,2007-2013
18.83, (WI),72,6,4,EAV Williams,0,113,1939-1948
11.20, (SL),46,10,5,ERNS Fernando,0,112,1983-1984
112.00, (WI),112,1,1,AG Ganteaume,0,112,1948-1948
